Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2024-11-01,42.7101,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-05,42.8569,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-06,43.4576,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-07,43.7822,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-08,44.1861,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-11,44.7035,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-12,44.7544,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-13,44.9289,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-14,45.053,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-15,45.507,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-19,45.7894,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-20,45.841,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-21,46.0588,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-22,46.3273,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-25,46.6176,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-26,46.6427,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-27,46.7537,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-28,46.8554,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-11-29,47.3138,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-02,47.6074,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-03,47.7293,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-04,47.8552,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-05,48.1183,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-06,48.3265,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-09,48.7903,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-10,48.8695,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-11,49.1111,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-12,49.4757,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-13,49.9068,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-16,50.3319,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-17,50.371,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-18,50.5419,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-19,50.9545,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-20,51.3504,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-23,51.5398,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-26,51.64,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-27,51.7659,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-12-30,51.9345,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-02,52.0271,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
